iter	RMSE
0	28692.03031
400	3139.292802
800	1326.40206
1200	988.7846191
1600	826.4528616
2000	708.5136738
2400	617.7517265
2800	554.942375
3200	502.0027771
3600	459.1793478
4000	420.2965193
4400	387.675114
4800	360.9150616
5200	334.6778332
5600	312.7024675
6000	291.6969196
6400	274.176949
6800	257.4941349
7200	241.7186463
7600	228.1653808
8000	215.6902806
8400	204.2661687
8800	194.1115914
9200	184.1386741
9600	175.0498285
10000	165.6674711
10400	157.1299181
10800	149.3882627
11200	141.6382535
11600	134.8301092
12000	128.4893861
12400	122.6834718
12800	117.0207915
13200	111.813255
13600	106.9268843
14000	102.5138274
14400	98.07867557
14800	93.89376433
15200	89.83704297
15600	86.13529336
16000	82.65867261
16400	79.34413273
16800	76.23808755
17200	73.31044798
17600	70.43915734
18000	67.63532512
18400	65.07990612
18800	62.69971143
19200	60.34719918
19600	58.10207162
19999	56.0825794
