iter	Passed	Remaining
0	51	2075430
1	55	1115111
2	59	790609
3	62	625241
4	65	520647
5	67	452899
6	71	406070
7	74	371796
8	77	342888
9	80	320285
10	82	301636
11	84	280358
12	86	266891
13	89	255212
14	91	243627
15	94	235013
16	96	227492
17	99	221784
18	102	216181
19	105	210074
20	107	204652
21	109	199478
22	112	194821
23	114	190973
24	117	187324
25	119	183781
26	121	180450
27	124	177565
28	126	174587
29	128	171702
30	131	169087
31	133	166756
32	135	164537
33	138	162324
34	140	159929
35	142	157833
36	144	156169
37	146	153740
38	148	151841
39	150	150246
40	152	148670
41	154	147083
42	156	145515
43	158	144066
44	160	142655
45	162	141304
46	164	140146
47	166	138462
48	168	137305
49	170	136118
50	171	134683
51	173	133276
52	175	132324
53	177	131373
54	179	130435
55	181	129548
56	183	128246
57	185	127425
58	187	126632
59	188	125763
60	190	124960
61	191	123672
62	194	122997
63	196	122524
64	198	121855
65	201	121915
66	202	120963
67	204	120279
68	206	119423
69	209	119417
70	211	118705
71	212	118002
72	214	117358
73	216	116832
74	218	116268
75	220	115699
76	222	115175
77	224	114665
78	226	114204
79	227	113680
80	229	113175
81	231	112716
82	233	112308
83	235	111804
84	237	111347
85	238	110909
86	240	110473
87	242	110022
88	244	109732
89	246	109303
90	248	108880
91	250	108508
92	252	108172
93	253	107784
94	255	107379
95	257	106985
96	258	106229
97	259	105844
98	261	105505
99	263	105157
100	265	104780
101	267	104463
102	269	104211
103	270	103870
104	272	103567
105	274	103261
106	276	102960
107	277	102652
108	279	102366
109	281	102062
110	283	101798
111	285	101527
112	286	101253
113	288	100986
114	290	100764
115	292	100512
116	293	100017
117	295	99776
118	296	99522
119	298	99321
120	300	99130
121	302	98926
122	303	98466
123	305	98279
124	307	98058
125	309	97838
126	311	97649
127	312	97469
128	318	98503
129	320	98356
130	322	98186
131	324	98011
132	326	97837
133	327	97507
134	329	97334
135	331	97169
136	333	97011
137	335	96826
138	336	96370
139	337	96183
140	339	95871
141	340	95677
142	342	95508
143	344	95213
144	345	95064
145	347	94897
146	349	94747
147	350	94472
148	352	94343
149	354	94176
150	356	94067
151	358	93916
152	359	93756
153	361	93622
154	363	93455
155	365	93330
156	367	93181
157	369	93090
158	370	92959
159	372	92836
160	374	92727
161	376	92581
162	377	92224
163	379	92090
164	380	91956
165	382	91826
166	384	91709
167	386	91599
168	388	91471
169	389	91339
170	390	90996
171	392	90892
172	394	90774
173	396	90674
174	397	90471
175	399	90345
176	401	90241
177	402	90115
178	404	90025
179	406	89907
180	408	89813
181	410	89704
182	411	89566
183	413	89473
184	415	89365
185	417	89272
186	418	89086
187	420	89013
188	422	88915
189	423	88829
190	425	88725
191	427	88634
192	429	88532
193	431	88440
194	432	88358
195	434	88269
196	436	88105
197	438	88106
198	440	88027
199	441	87865
200	443	87785
201	445	87691
202	446	87626
203	448	87465
204	450	87381
205	451	87301
206	453	87220
207	455	87163
208	457	87100
209	459	87028
210	461	86971
211	463	86997
212	465	86937
213	467	86852
214	468	86634
215	470	86578
216	471	86529
217	473	86481
218	475	86425
219	477	86350
220	479	86288
221	481	86225
222	482	86148
223	484	86078
224	486	86028
225	488	85964
226	490	85909
227	491	85766
228	493	85702
229	495	85643
230	497	85596
231	498	85461
232	500	85413
233	502	85345
234	503	85279
235	504	85067
236	506	85010
237	508	84955
238	510	84891
239	511	84746
240	513	84686
241	515	84641
242	517	84589
243	518	84540
244	520	84384
245	522	84404
246	524	84363
247	525	84298
248	527	84244
249	529	84186
250	531	84112
251	532	84054
252	533	83840
253	535	83793
254	536	83625
255	538	83584
256	539	83392
257	540	83332
258	542	83293
259	544	83262
260	545	83098
